sentiment,description,id
negative,"PEANUT BUTTER  MALE PLOTT HOUND MIX AGE 8 MONTHS WEIGHT 50 COLORS BROWN BRINDLE/WHITE COAT SHORT NEUTERED Chipped  Oh, my!...",48554867
positive,DOB 12/5/19  Mr.Moon is the best of both worlds. Playful and fun with a serious love for belly scratches and...,48549886
positive,Mabel is a 6 month old pointer lab mix pup looking for her forever home. She absolutely loves other dogs...,48555149
positive,"Darcy is a velcro baby..she is a only about 14-18 months old, heartworm neg, spayed, loves her doggie friends at...",48554426
negative,Nani’s foster mom wrote some info about her: My name is Nani and I am looking for my furever family!...,48549701
negative,Case #16039. Kiro is an 8 month old Pit Bull Terrier Mix that was surrendered to the shelter because they...,48549994
negative,Breed: Mixed Breed  Altered: Yes  Personality: I&amp;#39;m a sweet girl that loves to go for walks! I could benefit from...,48554575
positive,Dibble is approximately 1 year old and weighs 18 lbs.  He is heartworm positive but please don&#039;t let that worry...,48549717
negative,None,48554467
positive,This is Frisbee. He is 1 week old male lab/terrier mix. Right now he weighs about 10 pounds and will...,48549605
negative,My name is Goomba.  I was brought to the MCSPCA by Humane Society International after being rescued from a Korean...,48552675
negative,"ZENA - 2 years old, Pit Mix, Female, 50lbs, Medium Active, Older Kids Only, Must Have Primary Dog Ownership Experience...",48553822
positive,"Name: Porter Suspected Breed(s): German Shepherd Gender: Neutered / Male Age: 2-years-old Size: Large - 53LB  Observations with Dogs, Cats...",48549691
positive,"Bob is so sweet &amp; friendly! He is such a silly, happy boy! He loves to hang with his people,...",48552874
positive,"Litter of 8, born approx 2/27/20 and rescued from a high kill pound  Please visit www.handsheartspaws.org for an adoption application...",48554559
positive,ADOPTION INFO: Handsome Max is a Golden Doodle approx 11 months old and 65#. He’s still filling out! He is...,48554735
positive,"Hi my name is Blue! I’m 3 years old and 7 lbs! I was found in Richmond, Virginia tied to...",48553859
positive,"88624 2-5 YRS AVAILABLE  7/28 Services included with the $60 adoption fee: Spay or neuter, surgery related pain medications, Rabies,...",48551188
negative,Sampson is almost 11 years old. He may weigh 15 pounds. The best part is that he loves to be...,48554220
positive,AVAILABLE FOR PICK UP 7/28/2020 **** APPROVED APPLICATION AND $100.00 DEPOSIT REQUIRED TO HOLD YOUR PUPPY UNTIL PICK UP DATE****...,48552989
positive,Honey is an 8 month old Beagle mix pup who loves to play but is also a real snuggle bug....,48553224
positive,Say hello to Pike!  He is a one year old and 45 lbs. He is a Labrador Retriever/Australian Shepherd mix....,48550371
positive,Happy Happy Me!!! I got to go to the DQ yesterday which means I got to go on a car...,48551130
positive,make your appointment on Facebook Animal Adoption Center of Blount County,48549853
positive,Utah came from a very high kill shelter in Texas . He is a beautiful boy he is very sweet...,48549916
positive,"Wiley is an approx 2 year old Jindo, rescued from the dog meat trade in Korea.  He recently arrived Seattle....",48553418
negative,"Hello, my name is Sassy Ann. I am a 8 yr old female pitbull mix current on vaccinations -rabies, distemper/parvo,...",48555309
positive,"Deli is a 4-5 month old, approx. 25 lbs. tan on white, SharPei mix female.  She will be approx. 40-50...",48553232
positive,"Animal Profile: Abner, aka Zeus, arrives in Seattle on June 26th. He is estimated to be ~6 months. He appears...",48552589
positive,"Sweet handsome Tank, is a young smart cattle dog mix. He is ready to find a forever family, that is...",48553818
positive,"Baxter and Roscoe are border collie mixes who were born May 29, 2018.  They came to us from the Pulaski...",48553635
positive,Bambam is a 6 year old shihtzu/yorkie mix weighing in at an overweight 12 lbs.  . He is super sweet...,48553265
negative,None,48550760
negative,Photos: https://flickr.com/photos/138664788@N08/sets/72157713416339118  Dog Meets:  Armando and Sprinkles -- https://youtu.be/qusmMvOXGi8 Medical Observation:  Intake Type: (7/16) Owner Surrender  (3/6) Stray  Medical Observation:...,48554689
positive,Charlotte is a active little girl. She loves going on 30-60 minute walks. She was found as a stray along...,48549957
positive,Bentley Breed- Terrier mix DOB- 5/17/20 Utd on age appropriate vaccine  Dewormed  Microchipped  Dog/kid/cat friendly Adoption fee- $525 w/$100 back...,48554666
positive,We are currently closed due to COVID-19. Pets may be viewed by appointment only for applicants who are approved to...,48555427
negative,Casper is about 3 months and is a social butterfly who doesn&amp;#39;t shy away from attention. He is an energetic...,48555077
positive,"Birthday: 3/18/2020 Pet ID: 125851  If you have any questions about our adoptable pets, we can be reached by phone...",48550202
negative,None,48550652
positive,"Litter of 8, born approx 2/27/20 and rescued from a high kill pound  Please visit www.handsheartspaws.org for an adoption application...",48554611
negative,Sammy came to us after his mom could no longer care for her due to her own health issues. It...,48554754
negative,"ODIN - 5 years old, 60 pounds, house trained, good with older kids, cats &amp;amp; dogs, loves tennis balls, energetic,...",48550347
positive,Senior Hearts Rescue and Renewal is the only licensed senior dog rescue organization in Western Pennsylvania. We do not have...,48553642
positive,"Athena was adopted 7/25/2020. Her new home is in Little Rock, Arkansas.   Athena is a female black with tan Chihuahua....",48554884
positive,Patsy weighs 34.6 pounds.  The adoption fee for dogs is $40.00 and $30.00 for cats. A pre-adoption questionnaire and an...,48554216
negative,"Cooper is most often described by shelter staff as a &amp;#39;chunky boi,&amp;#39; but if you ask him, he&amp;#39;ll say he&amp;#39;s...",48551444
negative,"Meet Mak! He is about 3-months-old and 12-pounds (on 8/1). He&#039;s a very quiet, sweet boy.  Interested in this sweet...",48553496
positive,"If tall, dark, and handsome is your thing, I&amp;#39;m your dog! My name is Sandcastle (854883) and I am a...",48551501
positive,"To apply to adopt, please go to www.adoptgoodkarma.com/adopting/ and fill out the online application.  ONLY APPROVED APPLICATIONS WILL BE CONSIDERED...",48549648
positive,"Howdy! I&amp;#39;m Sierra, a 5 year old german shepherd mix. I am a very sweet girl who loves to hang...",48555411
negative,"Dark and handsome, isn’t he? He also has a sweet, affectionate side, with those he&#039;s come to trust. But the...",48551002
positive,*Skye von Singen is a beautiful 10-11 month old German Shepherd. *Skye von Singen is new to Westside and we...,48554596
positive,______ DOB/AGE: 03/27/2020 WEIGHT (GROWN): 40-50lbs   You will need to complete an application before a Meet &amp; Greet can be...,48549936
negative,Breed: Formosan Mountain Dog mix Age: 6 months Weight: 20 lbs. Good with dogs: yes Good with cats: unsure Good...,48553438
positive,Hey there!  My name is Elsa and I am looking for my forever home!  I have been at the shelter...,48550644
positive,HI I&amp;#39;m Chipper! I&amp;#39;m a 2 year old Rottie/Hound mix rescued from a high kill shelter in Georgia. I&amp;#39;m very...,48552696
positive,“Hi there! Yep I see you smiling. I do that to everyone. They see me and immediately smile and then...,48555153
negative,None,48551110
positive,Tiger came into the shelter as a stray and we have a hard time believing this little guy was out...,48554742
positive,"Maple is approx. 5mo old and a hound mix, around 30lb. She will be ready to travel to New England...",48553204
positive,Looking for my forever home. Do you have any room for me?,48550097
positive,Born approx 4/20/20 and rescued along with 3 siblings  Please visit www.handsheartspaws.org for an adoption application  All of our dogs...,48551184
positive,Applications now being accepted!! Scout s a beautiful friendly lab terrier mix boy who is estimated around 1-2 yeara old....,48554555
negative,"Hank is a great, friendly labrador.  His family surrendered him to a high kill shelter with his buddy, a Chihuahua....",48554943
positive,Please fill out an app on LuckyDayRescue.org (not Petfinder) thanks!  Simon is looking for his forever home!  He is an...,48554410
negative,Nitro has had a horrible puppyhood. He has made it to rescue and we are working on getting some weight...,48549625
positive,"This is Keelie, a 1 ½ year old, 60 pound Rottie mix.  Beautiful in her short tricolor coat, her long...",48554797
positive,Birthday: 10/21/2019 Expected &quot;go home&quot; date: I’ve had all my puppy shots and am ready to go home at next...,48553951
positive,"Gigi is a perfect mix of fun, zippy and sporty jack Russell with the chill, affectionate and cuddly side of...",48550557
positive,"Gates is a female, 7 year old beagle / dachshund mix that weighs 45 pounds.  She is very gentle and...",48554902
positive,None,48553394
positive,You can fill out an adoption application online on our official website.Hi! I&amp;#39;m Pat Benatar! I&amp;#39;m a female shepherd mix...,48552614
positive,Meet Calaway! He is around 3 months old and 12 pounds.   Interested in this sweet dog? Apply today at http://www.underdogpetrescue.org/dog-application...,48553455
negative,Spayed female bulldog mix about 2 yrs old and. 45 pounds. She is good on leash and is very selective...,48551192
positive,Billy is approximately 3 months old and currently weighs 30 lbs.,48549721
positive,Happy lives up to his name even though he must have had a hard life. He is about 12 years...,48555352
positive,Delilah came to us from a high kill shelter in Georgia.  Where had she been? How long had she been...,48550015
negative,None,48555146
positive,"Meet Sasha!  Hello, I&#039;m Sasha! I&#039;m 8 years old and 21 pounds. I was surrendered with my mom, Rita. I&#039;m...",48550714
negative,"ADDIE Addie is a stocky, solid red-brindle girl - she weighs in at nearly 80 lb! She is joyful, exuberant,...",48554757
negative,"Hi, my name is Layla and I’m a very shy, but sweet 1 year old Pit Mix. I hate being...",48553568
negative,"BIO TO COME SOON   All of our dogs are current on vaccinations which include Rabies and Distemper/Parvo, they are spayed...",48551105
positive,"Luma would best be described with three words: Sweet, playful, gentle!   Luma was dumped out of someones car on the...",48554612
positive,"Chimichanga loves attention and is the PERFECT lap dog! He gets along well with small, calm dogs and cats but...",48553587
negative,What can we say? Xena is an exceptional girl who didnt come from the best of backgrounds. Xena does very...,48550201
positive,Gotti is approximately 3 months old and currently weighs 13 lbs.,48555280
positive,Meet sweet Sunny !!! Sunny is a 6 year old female Havanese. She is a tad shy but warms up...,48554184
positive,"Oso is an approx. 2 year old Jindo, rescued from the dog meat trade in Korea.  He just recently arrived...",48553495
positive,You can fill out an adoption application online on our official website.,48555404
positive,Meet Biggie! This boy was found dumped a rural dumping ground in rural Alabama. He and his 3 siblings were...,48554215
positive,"Say hello Scout ~~He was originally in the shelter as a puppy, and returned months later due to landlord issues...",48552841
positive,Razzle is a 12 year old spayed female Rat Terrier mix. She is bonded with Dazzle &amp; you can adopt...,48550939
positive,Say hello to Soldier ~~He came to TCHS because his owner did not have enough time to care for him...,48552904
negative,DARLING is a 6-month-old heeler/cattle dog mix who was rescued from the county shelter when she was found as a...,48552768
negative,None,48551144
positive,"This is Keelie, a 1 ½ year old, 60 pound Rottie mix.  Beautiful in her short tricolor coat, her long...",48554653
positive,"Hi there, my name is Joker! I am a super cute male Staffordshire Bull Terrier mix who is about 1...",48555412
positive,"Hi there, my name is Rosé and I’m a 3.5 year old Pit Mix with the best smile. Yes, my...",48553600
positive,"My name is Zena. I&#039;m a 3 year old, spayed female husky mix. I came all the way from Oklahoma...",48551113
positive,"DOG BIOGRAPHY:  Say hello to baby Belle, a Chihuahua/terrier mix who is two years old and weighs five pounds. Miss...",48554741
positive,Hey there!  My name is Bette and I am looking for my forever home!  I have been at the shelter...,48550647
positive,**PUPPY PICTURE FROM ORIGINAL SHELTER STAY** Meet Milo! Milo originally came to TCHS due to there being too many animals...,48552800
positive,My name is Ebony. I&#039;m a super sweet 4 month old female lab mix. I am very shy and take...,48551538
positive,You can fill out an adoption application online on our official website.,48552744
positive,None,48550000
positive,Pup: Sweet Pea Gender: Female Age: 11 weeks Weight: 11lbs  Breed: Pit mix Fee: $400 Adoption Coordinator- Taylor K. -...,48554556
positive,Callie is at a rescue in Arkansas.  All inquiries must be directed to Gail&#039;s Pets Second Chance for a quick...,48553769
positive,"Meet Rocket!  Found as a stray, he is around 3 months old and 17 pounds (8/1).  Rocket is doing great...",48553417
positive,You can fill out an adoption application online on our official website.,48550954
positive,READ ALL INFORMATION BELOW.    Lulu is a new arrival that is now vetted and ready for a new home.  She...,48552986
negative,This is Poppy and she is just 12 weeks old and is going to be staying permanently in her foster...,48551129
negative,"Hi! My name is Lizzie, &amp; I&#039;m a 12-year old female tricolor beagle. My owner recently passed away, &amp; so...",48553544
negative,Dexter is at a rescue in Arkansas.  All inquiries must be directed to Gail&#039;s Pets Second Chance for a quick...,48553817
negative,"She loves to carry the ball around. Wants you to look at it, but you can&amp;#39;t have it. She may...",48555490
positive,Ginger is a sweet and adventurous little lady!   She loves to play and explore.  She is fearless!  If you are...,48553397
positive,"Relinquished by his owner who was homeless living in a motel, Kodiak is such a great dog, very friendly, and...",48551200
positive,4 Precious Paws Rescue holds pet adoptions every Saturday at the Carmel PetSmart Store from 12:00pm until 3:00pm. located at...,48554002
positive,This beautiful pup is Miles!! He is a sweet and fun loving boy Come meet him today!,48554844
positive,Jake is a 7 month old neutered male Australian Shepherd/Terrier mix who arrived as a stray.   Jake is the life...,48550807
positive,"Until further notice, to adhere to CDC&amp;#39;s recommended sanitation guidelines and to promote social distancing, meet &amp;amp; greets and adoptions...",48555078
positive,You can fill out an adoption application online on our official website. Hey everybody! I am Prince Cuddlebutt and I...,48552617
negative,You can fill out an adoption application online on our official website. Sweet Carly finds herself needing a foster or...,48554686
positive,None,48551257
positive,"Litter of 8, born approx 2/27/20 and rescued from a high kill pound   Please visit www.handsheartspaws.org for an adoption application...",48554405
positive,Meet Pepper! She is currently spending some time off-site in a foster home. They said she loves cuddling and being...,48552928
negative,You can fill out an adoption application online on our official website.Adoption fee is $300. Apply at www.straypawsrescue.com,48550153
positive,"I am 41 lbs., 1 year old, and l am looking for my forever home.  Adoption Donation: $400  All dogs...",48554864
positive,10 month old male $250,48551109
positive,Atlas is a one year old bulldog mix. He&#039;s super friendly and excited to be here and get his forever...,48550718
negative,"Hakeem is a beautiful, shy young male. He warms up quickly with a little patience and loves attention. He is...",48549885
negative,None,48553533
negative,"Welcome our newest member to the HAAR family, Cena. Not a wrestler but  a 3.5 year old beagle who is...",48553499
positive,*Ollie von Olsberg is a delightful 2-3 year old German Shepherd mix. *Ollie von Olsberg is new to Westside and...,48554433
negative,"Adoption fee is $125 which includes DHPL &amp; KC vaccinations, rabies vaccination, heartworm check, monthly heartworm prevention (until they leave),...",48554599
positive,Chase has already been neutered and is looking for his forever home! The adoption fee includes age appropriate vaccinations and...,48555388
positive,"Angel is a sweet, adorable puppy!  Her mom was found as a stray and is very sweet as well!  We...",48553525
positive,PLEASE do not email us through the Petfinder inquiry but our direct email address. Emails through Petfinder will more than...,48550759
positive,Looking for my forever home. Do you have any room for me?,48550098
positive,"Meet Cole, a 4 to 5 month old Retriever mix. He presently weighs between 18 and 20 pounds and will...",48549606
negative,None,48554937
positive,Hi my name is Theon. I am about 2 years old and weigh 56 pounds.  I am a very friendly...,48555275
negative,"Hi! My name is Abby, &amp; I&#039;m a 12-year old female tricolor beagle. My owner recently passed away, &amp; so...",48553572
positive,"Traeger #419 is a male Husky, he is 1 year old and weighs 40lbs. He came in with his best...",48553964
negative,"Meet Ben &amp; Jerry! These beautiful bonded boys will melt your heart!!  Ben, chocolate longhair and Jerry, black/silver dapple longhair,...",48552877
negative,"Pal&#039;s Place would love to introduce you to a very special dog looking for a very special, experienced, and patient...",48555062
positive,My name is Beethoven a 5 yr old Border Collie mix in search of his furever home.  I&#039;m told I...,48555432
negative,Freedom is a 4 year old Dutch Shepherd/Belgian Malinois mix who came to us from The City of Bakersfield Animal...,48553509
positive,Born approx 4/20/20 and rescued along with 3 sisters  Please visit www.handsheartspaws.org for an adoption application  All of our dogs...,48551164
positive,"What a cutie pie this fella is.... Say hello to Chance,he is 6 months old and was brought to us...",48553677
positive,"You can fill out an adoption application online on our official website.This delicious little fellow is Kumquat, an adorable 2...",48549780
positive,"Applications now being accepted!! Lucien is a playful, friendly people loving blue staffy mix who is estimated around 7 months...",48554274
positive,"Hi, my name is Penny! I was born 5/25/2020 so I am about 8 weeks old. I am a small...",48551076
positive,"OLIVER IN MAINE!   If you are looking for a fun-loving and charming senior gentleman to share your life with, this...",48550688
negative,Jasmine is a great girl that has some special medical and behavioral needs. We are hoping she will go to...,48549796
positive,Senior Hearts Rescue and Renewal is the only licensed senior dog rescue organization in Western Pennsylvania. We do not have...,48553661
positive,You can fill out an adoption application online on our official website.,48550558
positive,You can fill out an adoption application online on our official website.,48549779
positive,None,48550108
positive,*Ava von Ansbach is a gorgeous 2 year old German Shepherd. *Ava von Ansbach is new to Westside and we...,48554632
negative,Meet the most handsome Rossi. He is living it up in his foster and really loves everyone! He loves people...,48549846
negative,"When Baz came into the shelter two weeks ago, he was completely overwhelmed and scared, so he was prioritized to...",48550919
positive,"Labrador / Boxer mix – Black &amp; White Male 2 years 45 pounds If interested in adopting Plankton, a link...",48553636
positive,"Eva is an Aussie mix, approx. 5mo old and 30lb. She will be ready to travel to New England in...",48553266
positive,"Kennel #5 Intake Date 7/15/20 - from Lorain Available Date 7/21/20, if not claimed.   Breed info is a best guess,...",48550763
positive,"This adorable little guy is Grizzly    Grizzly weighs about 10 lbs., is 10-12 months old and is a terrier/chi mix....",48550333
positive,"Nala is a 3 year old, female, lab-boxer mix who was surrendered because she was bitten by another dog in...",48555425
positive,very calm walks well on leash,48551036
negative,Sadie is a middle-age gal with a lot of spunk! She loves toys and her walks. She is affectionate towards...,48551466
positive,"Red is a 95 lb Coon Hound mix and one beautiful, sweet boy. Red&#039;s story started out pretty scary. He...",48551489
positive,"Chiquita is 10 weeks old, 14 lbs, dewormed, has had age appropriate vaccinations.  ADOPTION PENDING indicates that an application has...",48551523
positive,Betty is a very sweet playfull girl. She is around 10-12 weeks old and we think she is a Border...,48554721
negative,-Buster -Male -10 years young  Buster is an easy going dog that loves people. He is a happy boy!  bcarl.net/adoption,48550762
positive,"Birthday: 3/18/2020 Pet ID: 125858  If you have any questions about our adoptable pets, we can be reached by phone...",48550332
positive,"Panda is a 2 year old, short haired, approx. 15 lb. Chihuahua, Beagle mix male.  He was surrendered by his...",48553267
negative,"You can fill out an adoption application online on our official website. Timid, likes other dogs is a real cuddle...",48552708
positive,Shepherd mix – Brown &amp; Black Male 1 year 56 pounds  Rancho Coastal Humane Society remains temporarily closed to the...,48553660
positive,"Sweet girl, born Nov 2019  Please visit www.handsheartspaws.org for an adoption application  All of our dogs are current on vaccinations,...",48554275
positive,"I am 60 lbs., 3 years old, and l am looking for my forever home.  Adoption Donation: $400  All dogs...",48554625
positive,Rainbow and 6 siblings (born approx 5/26/20) were rescued from a high kill pound.  Sadly 3 of the littermates died...,48551132
positive,Meet LouLou (spaniel/lab mix) and her 4-5 month old puppies Yoyo and Momo! We are unsure of dad but believe...,48549851
positive,Meet Mrs. Brown!  This cute little girl is an 8 year old Pomeranian and weighs 14lbs.  She was rescued from...,48550689
negative,"All of our dogs are spayed or neutered, given a rabies vaccine (if old enough), distemper/parvo/bordetella vaccines, heartworm tested (if...",48550959
negative,STAR is a foster-based rescue. All our rescue animals stay in foster homes until adoption. We do not have a...,48553226
positive,Available for adoption on Friday 7/25. The adoption fee for altered animals is $460.  Please note that we do have...,48552572
positive,"Please send Anna a text at 407.952.1037 to schedule and appointment to meet this furbaby.   This puppy comes Spayed/Neutered, current...",48551020
negative,"Sadie is a 2-year-old, small, female, German Shepherd, who is very loving and defends the people she is with. She...",48555063
positive,MY STORY: Sky came to CBHS has an owner surrender.  AGE: Approx. 4 months  TRICKS &amp; COMMANDS: Sit  ABOUT SKY:...,48555433
positive,"Meet Rico, an approximately 13-week old pit bull mix that is full of energy! He is about 19 pounds *right...",48550324
negative,None,48549555
positive,New to STAR,48552933
positive,You can fill out an adoption application online on our official website.Things I have learned about Woody Guthrie aka &amp;#34;Gus&amp;#34;:...,48552876
negative,None,48553573
positive,"Moose #418, is a male Black Lab. He is 1 year old and weighs 74lbs. This beautiful boy was surrendered...",48553965
positive,None,48550563
positive,Looking for my forever home. Do you have any room for me?,48550099
negative,ADOPTION PENDING  Animal Profile: Gracie is an adorable chihuahua/rat terrier mix who was rescued from a high kill shelter in...,48549607
positive,Meet Emma!   Emma made her way to us after she was found abandoned in a vacant house. It is believed...,48552948
negative,None,48551149
positive,"Meet Mai   Mai is 10m old. Approx 50 lbs.  Mai loves cats , loves kids,  loves people and other dogs...",48553898
negative,None,48550922
negative,We are calling this girl Kaitlin. She was found on Marshall on or around 7/17/2020. She is about a year...,48554961
positive,Hello my name is Nugget!  I am about 3 years old and weigh about 3 pounds. You can say I’m...,48553498
negative,None,48553162
positive,"Monkey is a lab mix who was born approximately Feb. 2020. She and her sister, Mabel, came to us from...",48554218
negative,"Bambi is such a fantastic dog! She loves to cuddle and play with toys.   If you have any questions, please...",48549580
positive,"Zinfandel is a playful young adult with lots of energy. She is seeking a home that can meet that need,...",48554561
positive,Name: Spicy Suspected Breed(s): Shepherd/Hound Mix Gender: Spayed / Female Age: 8 months old Size: Medium - 20 LB  Observations...,48549703
negative,None,48555370
positive,"Henry is a 2 yrs. old, 10 lbs. little guy who has the sweetest, gentlest disposition we’ve ever seen. He...",48552724
negative,Grace and her four puppies were rescued on 5/20 from a deadly situation where three of her puppies had already...,48550719
positive,"Birthday: 3/18/2020 Pet ID: 125844  If you have any questions about our adoptable pets, we can be reached by phone...",48550349
positive,Jenn is almost 4 years old.  She is a black and tan coonhound.  She enjoys cuddling up at night and...,48550963
positive,My owner turned me in because I didn&#039;t want to hunt. I have lived with other beagles and should adapt...,48555262
negative,None,48554920
negative,"Animal Profile: Charlie is a 12 year old 8 lb chihuahua mix who was rescued from Fresno, CA. He is...",48549611
positive,Walker is a 7 Month old male coonhound mix. He is currently being fostered with another dog and a cat....,48549666
positive,AVAILABLE FOR PICK UP 7/28/2020 **** APPROVED APPLICATION AND $100.00 DEPOSIT REQUIRED TO HOLD YOUR PUPPY UNTIL PICK UP DATE****...,48552883
positive,Hi there! My name is Kool aid man and it&#039;s nice to meet you! I am a very sweet and...,48554404
positive,"Amber came to us from Georgia with her tail tucked between her legs, absolutely terrified of everything. Fast forward to...",48552929
positive,"Case #15958A. Bass is a 3 1/2 month old Shepherd Mix that was at large with his mom and brother,...",48549959
positive,You can fill out an adoption application online on our official website.Hello! My name is Rey Rojo. That means &amp;#34;King...,48552616
positive,This dog is part of our shelter outreach program where we take dogs from overcrowded shelters in hopes of finding...,48555096
negative,Available for adoption on Friday 7/25. The adoption fee for altered animals is $460.  Please note that we do have...,48552587
negative,"***IF YOU ARE INTERESTED IN ADOPTING, PLEASE GO TO OUR WEBSITE AT WWW.APARN.ORG AND FILL OUT THE ADOPTION APPLICATION. THAT...",48555307
positive,** COVID-19 UPDATES ARE AVAILABLE ON OUR WEBSITE AT https://westvalleyhumanesociety.org/COVID/ **  All dogs adopted from West Valley Humane Society are...,48552568
negative,"Stark is a 9 month old Mixed Breed dog, weighing 52 pounds. He is healthy, heartworm negative, and has been...",48554795
positive,"Milo is a handsome, energetic, who is approximately 3 years old and loves everyone he meets (including other dogs and...",48553400
negative,Sweet little cuddle bug. Good with other calm dogs and cats,48554280
positive,My name is Jester. I&#039;m a 3 yr old neutered male retriever mix that came all the way from Oklahoma...,48551082
positive,You can fill out an adoption application online on our official website.FTA  The adoption fee covers the cost of the...,48550955
positive,None,48554853
positive,"Baby Cricket is a gorgeous baby girl looking for her forever home, she will go home weekend of August 8th",48554279
positive,Izzy von Iserlohn is the most endearing and handsome 6-7 year old German Shepherd with a possible Corgi in his...,48554412
positive,Ziggy is an active sweet boy!,48551240
positive,"Adoption Fee: $125All dogs are spayed/neutered, vaccinated, and microchipped.Apply: www.duboiscountyhumane.org/apply.htmlVisit Tuesday-Friday 12-6pm and Saturday 9-12pm EST at 426 Wernsing Road...",48554941
negative,"They currently have their first shots, wormings, flea preventative, heartworm preventative and are microchipped. Adoption fee is $188 ($175 Adoption...",48550144
positive,Boxer mix – Tan &amp; White Male 7 1/2 months 20 1/2 pounds  Rancho Coastal Humane Society remains temporarily closed...,48553768
negative,PLEASE COMPLETELY READ THE ENTIRE DESCRIPTION   We are a foster home based rescue organization. **Only approved adopters can meet our...,48550797
positive,MY STORY: Ivan came to CBHS from a partnering animal rescue organization.  AGE: Approx 7 years old  TRICKS &amp; COMMANDS:...,48551493
positive,Beagle / Basset Hound mix – White &amp; Brown Male 1 year 24 pounds  Rancho Coastal Humane Society remains temporarily...,48553504
positive,"You can fill out an adoption application online on our official website.  Ready-made-family right here!  Meet Sulu (cream, female) and...",48552745
positive,Looking for my forever home. Do you have any room for me?,48550095
positive,Adoption Fee:  $50 for dogs  Where to Meet the Pet: Ivins Animal Shelter and Adoption Center 474 North 200 West...,48550996
positive,None,48552944
positive,"Mabel is a lab mix who was born approximately Feb. 2020. She and her sister, Monkey, came to us from...",48554039
positive,****ADOPTIONS ARE BY APPOINTMENT ONLY WITH AN APPROVED ADOPTION APPLICATION****. homeatlasths.org PLEASE DO NOT CALL OR MESSAGE AND ASK HOW...,48554890
positive,"Hello everybody, my name is Dexter and I am 9 years old, but I have a birthday right around the...",48551112
positive,"If this dog is still listed, this dog is still available, for information about our adoption process, please go here,...",48554740
negative,None,48555151
positive,"Zeke is a 10 year old male Brittany Spaniel. Don&#039;t let his age fool you though, he has a lot...",48550646
negative,I am a 2 month old female Boxer mix.   ********PLEASE READ BELOW PRIOR TO EMAILING IN**********  If you are interested...,48550187
positive,"You can fill out an adoption application online on our official website.Howdy y&amp;#39;all,  The name&amp;#39;s Gracie. I came all the...",48555385
positive,Frazier is one of nine dogs we took in from an elderly owner unable to care for them any longer....,48550754
negative,"You can fill out an adoption application online on our official website. Our website has information about our rescue, adoption...",48553197
negative,None,48550241
positive,"Check out this handsome fella, meet Silas!  **Being fostered in Oklahoma City, OK***  Good Day everyone, my name is Silas...",48550611
positive,"Hello, my name is Emmy Lou. I was dumped out on a back road in Damon TX. I&amp;#39;m about 9...",48555413
positive,"Thank you for your interest in one of our Hero Babies!  Before inquiring, we thought it was important to share...",48550892
negative,Tate is a 10 month old Husky/Pit Bull Mix. He’s fuzzy like a teddy bear and has ears for days....,48553494
positive,"88635 1-2 YRS AVAILABLE 7/25 Services included with the $60 adoption fee: Spay or neuter, surgery related pain medications, Rabies,...",48555055
positive,"Hi everyone, my name is Davey. I&amp;#39;m a neutered, male, long-haired chihuahua, about 10lbs and approximately 4 years old. I...",48555281
positive,River LOVES people! She is all about getting attention and playing. She loves going for walks but more than anything...,48553640
positive,"If your looking to add the perfect mixture of sweetness and spunk to your life, Twizzler&#039;s your guy! Twizzler is...",48555147
positive,For more information and adoption applications (which must be completed to arrange a meeting) visit Rescued Treasures website at http://rescued-treasures.com/dog-application/....,48552682
negative,"LEXI - 5-8 years old, 53 pounds, seems house trained, not sure about other dogs or cats, older children  5-8...",48550345
negative,Meet Dave!   This darling senior guy is just about as perfect as they get! Dave is an easy going 10+...,48553093
negative,"Nice to meet you, I&amp;#39;m Tiana! I&amp;#39;m super playful, energetic, and loving! My favorite activities include running around, meeting people,...",48549888
negative,"Greetings, my name is Kyle and I am a handsome 7 1/2 yrs old Carolina Dog. to  Trumy breed...",48554243
positive,This little cutie is Diva    Diva is a little 10 lb. chi/terrier mix who is 10-12 months old (so still...,48550122
positive,NOTE:  The mailbox petfinder sends the &quot;Ask About&quot; email inquiries to is not as closely monitored as the email address...,48549753
positive,"Kolbi is adorable!! Great size at 30-35 pounds, he appears to be a husky / lab &amp;#34;ish&amp;#34; mix. He is...",48549616
negative,Primary Color: Brown Weight: 35.4lbs Age: 7yrs 1mths 1wks Animal has been Neutered,48554927
negative,Janette is a precious beagle. She has beautiful black and brown spots on a mostly white coat. Her most adorable...,48550437
positive,None,48552666
positive,*Luna von Lorch is a stunning 12-14 month old long haired German Shepherd. *Luna von Lorch is new to Westside...,48554566
positive,Meet ROSIE!  She was an owner surrender at a high kill pound in the Treasure Valley. The adult owner lost...,48555398
positive,"This adorable little guy is George, a 4 1/2 month old Labrador/Pointer mix! He currently weighs 25lbs. and we believe...",48550319
negative,"Sam, siberian husky, male, 59 lb, 6-7 yo, neutered, all shots  Sam is a gorgeous husky with piercing blue eyes...",48553866
negative,All people inquiring about pets listed as Courtesy Listings on the EAPL website and/or EAPL posting adoption boards should contact...,48549587
negative,Good with/Lived with: Dogs: No Cats: Yes Kids: Yes  Activity Level: Very High  Weight: 45-50 lbs.  Housebroken: Unable to guarantee...,48553470
positive,Hello world! I&#039;m Layla! I am BONDED with my sweet friend Jade. We are two blue eyed beauties who loves...,48554570
